Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     26.04     0.00   786432     0.00     0.00  bool std::equal<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >)
  0.00     26.04     0.00   786432     0.00     0.00  bool std::operator==<int, std::allocator<int> >(std::vector<int, std::allocator<int> > const&, std::vector<int, std::allocator<int> > const&)
  0.00     26.04     0.00   786431     0.00     0.00  void std::_Destroy_aux<true>::__destroy<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00     26.04     0.00   786431     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::copy<__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00     26.04     0.00   653376     0.00     0.00  int* std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<int>(int const*, int const*, int*)
  0.00     26.04     0.00   653376     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::move_backward<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >)
  0.00     26.04     0.00   653376     0.00     0.00  int* std::__copy_move_backward_a<true, int*, int*>(int*, int*, int*)
  0.00     26.04     0.00   530304     0.00     0.00  std::string* std::__addressof<std::string>(std::string&)
  0.00     26.04     0.00   524362     0.00     0.00  std::move_iterator<std::string*>::base() const
  0.00     26.04     0.00   381497     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::operator+(long const&) const
  0.00     26.04     0.00   381495     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, true>::_S_base(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00     26.04     0.00   381495     0.00     0.00  std::_Niter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >::iterator_type std::__niter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00     26.04     0.00   268161     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  0.00     26.04     0.00   266372     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char>(char*)
  0.00     26.04     0.00   266372     0.00     0.00  std::iterator_traits<char*>::difference_type std::__distance<char*>(char*, char*, std::random_access_iterator_tag)
  0.00     26.04     0.00   266372     0.00     0.00  std::iterator_traits<char*>::iterator_category std::__iterator_category<char*>(char* const&)
  0.00     26.04     0.00   266372     0.00     0.00  std::iterator_traits<char*>::difference_type std::distance<char*>(char*, char*)
  0.00     26.04     0.00   262181     0.00     0.00  bool std::operator==<std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&)
  0.00     26.04     0.00   262181     0.00     0.00  bool std::operator!=<std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&)
  0.00     26.04     0.00   262143     0.00     0.00  std::move_iterator<std::string*>::operator++()
  0.00     26.04     0.00   262143     0.00     0.00  void std::_Construct<std::string, std::string>(std::string*, std::string&&)
  0.00     26.04     0.00   260369     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::begin()
  0.00     26.04     0.00   254330     0.00     0.00  std::_Iter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, false>::_S_base(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00     26.04     0.00   254330     0.00     0.00  std::_Miter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >::iterator_type std::__miter_base<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00     26.04     0.00   133203     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >::difference_type __gnu_cxx::operator-<std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00     26.04     0.00   133184     0.00     0.00  std::string __gnu_cxx::__to_xstring<std::string, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
  0.00     26.04     0.00   133184     0.00     0.00  void __gnu_cxx::new_allocator<std::string>::construct<std::string, std::string>(std::string*, std::string&&)
  0.00     26.04     0.00   133184     0.00     0.00  char* std::string::_S_construct<char*>(char*, char*, std::allocator<char> const&)
  0.00     26.04     0.00   133184     0.00     0.00  char* std::string::_S_construct<char*>(char*, char*, std::allocator<char> const&, std::forward_iterator_tag)
  0.00     26.04     0.00   133184     0.00     0.00  char* std::string::_S_construct_aux<char*>(char*, char*, std::allocator<char> const&, std::__false_type)
  0.00     26.04     0.00   133184     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char*>(char*, char*, std::allocator<char> const&)
  0.00     26.04     0.00   133184     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<std::string> >::__construct_helper<std::string, std::string>::value, void>::type std::allocator_traits<std::allocator<std::string> >::_S_construct<std::string, std::string>(std::allocator<std::string>&, std::string*, std::string&&)
  0.00     26.04     0.00   133184     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<std::string>)({parm#3}))) std::allocator_traits<std::allocator<std::string> >::construct<std::string, std::string>(std::allocator<std::string>&, std::string*, std::string&&)
  0.00     26.04     0.00   133184     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::insert(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string&&)
  0.00     26.04     0.00   133184     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::vector<std::string, std::allocator<std::string> >::emplace<std::string>(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, std::string&&)
  0.00     26.04     0.00   133184     0.00     0.00  std::to_string(int)
  0.00     26.04     0.00   133184     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*)
  0.00     26.04     0.00   133184     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00     26.04     0.00   133165     0.00     0.00  bool __gnu_cxx::operator==<std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00     26.04     0.00   127166     0.00     0.00  void __gnu_cxx::new_allocator<std::string>::destroy<std::string>(std::string*)
  0.00     26.04     0.00   127166     0.00     0.00  bool __gnu_cxx::operator!=<std::string*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > const&)
  0.00     26.04     0.00   127166     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<std::string> >::__destroy_helper<std::string>::value, void>::type std::allocator_traits<std::allocator<std::string> >::_S_destroy<std::string>(std::allocator<std::string>&, std::string*)
  0.00     26.04     0.00   127166     0.00     0.00  void std::allocator_traits<std::allocator<std::string> >::destroy<std::string>(std::allocator<std::string>&, std::string*)
  0.00     26.04     0.00   127165     0.00     0.00  std::string* std::__copy_move_a<true, std::string*, std::string*>(std::string*, std::string*, std::string*)
  0.00     26.04     0.00   127165     0.00     0.00  __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > std::move<__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > > >(__gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string*, std::vector<std::string, std::allocator<std::string> > >)
  0.00     26.04     0.00     1190     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00     26.04     0.00      291     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.00     26.04     0.00      291     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<int> >::__construct_helper<int, int>::value, void>::type std::allocator_traits<std::allocator<int> >::_S_construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00     26.04     0.00      291     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<int>)({parm#3}))) std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00     26.04     0.00      291     0.00     0.00  std::vector<int, std::allocator<int> >::insert(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00     26.04     0.00      291     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > std::vector<int, std::allocator<int> >::emplace<int>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int&&)
  0.00     26.04     0.00      176     0.00     0.00  std::_Iter_base<int*, false>::_S_base(int*)
  0.00     26.04     0.00      176     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00     26.04     0.00      116     0.00     0.00  std::move_iterator<int*>::base() const
  0.00     26.04     0.00      116     0.00     0.00  std::_Iter_base<std::move_iterator<int*>, true>::_S_base(std::move_iterator<int*>)
  0.00     26.04     0.00      116     0.00     0.00  std::move_iterator<int*>::move_iterator(int*)
  0.00     26.04     0.00      116     0.00     0.00  std::_Miter_base<std::move_iterator<int*> >::iterator_type std::__miter_base<std::move_iterator<int*> >(std::move_iterator<int*>)
  0.00     26.04     0.00      116     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int*, std::move_iterator<int*> >(int*)
  0.00     26.04     0.00       89     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00     26.04     0.00       76     0.00     0.00  std::move_iterator<std::string*>::move_iterator(std::string*)
  0.00     26.04     0.00       76     0.00     0.00  std::move_iterator<std::string*> std::__make_move_if_noexcept_iterator<std::string*, std::move_iterator<std::string*> >(std::string*)
